YEAR,WMU,FEMALE_RATIO,KILLS
1976,603,1,2
1977,603,1,2
1978,603,0.5,8
1979,603,0.43,13
1980,603,0.64,17
1981,603,0.75,11
1982,603,0,2
1983,603,0.6,8
1984,603,0.4,6
1985,603,0.17,8
1986,603,0.44,15
1987,603,0.5,8
1988,603,0,7
1989,603,0,0
1990,603,0,5
1991,603,0.5,15
1992,603,1,6
1993,603,0.5,7
1994,603,0.33,11
1995,603,0.8,8
1996,603,0.71,10
1997,603,0.2,9
1998,603,0.4,16
1999,603,0.4,8
2000,603,0,6
2001,603,0,1
2002,603,0.67,5
2003,603,0,2
2004,603,1,4
2005,603,0,2
2006,603,0,0
2007,603,0,0
2008,603,0,NA
2009,603,0,0
2010,603,0,NA
2011,603,0,0
2012,603,0,NA
2013,603,0,2
2014,603,0,NA
2015,603,0,0
2016,603,0,0
2017,603,0,0
